sample,Species,Lake,year,collection date,date,Julian,Plate #,p1,p2,p3,p4,p7,p11,p12,p16,p17,p18,p19
L.D1.9.30.15,dentifera,L,2015,9.30.2015,2/24/2016,273,7928,,458,387,350,128,395,194,285,223,187,265
L.D1.9.8.17,dentifera,L,2017,9.8.2017,1/11/2019,251,9026,269,288,387,308,192,467,259,,223,187,261
L.D10.8.28.17,dentifera,L,2017,8.28.2017,1/23/2019,240,9030,269,288,387,308,192,446,259,270,223,187,261
L.D10.9.8.17,dentifera,L,2017,9.8.2017,1/11/2019,251,9026,269,288,387,308,192,446,259,270,223,187,290
L.D2.10.13.17,dentifera,L,2017,10.13.2017,11/5/2018,286,9002,269,288,387,308,192,,259,270,223,187,290
L.D2.10.3.17,dentifera,L,2017,10.3.2017,12/11/2018,276,9014,269,288,387,308,192,446,259,270,223,187,290
L.D2.7.21.15,dentifera,L,2015,7.21.2015,1/28/2016,202,7869,,458,387,350,128,395,194,285,223,187,265
L.D2.8.28.17,dentifera,L,2017,8.28.2017,1/11/2019,240,9026,269,288,387,308,192,446,259,270,223,187,290
L.D2.9.17.17,dentifera,L,2017,9.17.2017,11/5/2018,260,9002,269,288,387,308,192,467,259,270,223,187,261
L.D2.9.30.15,dentifera,L,2015,9.30.2015,2/24/2016,273,7928,269,288,387,308,192,446,259,270,223,187,290
L.D2.9.8.17,dentifera,L,2017,9.8.2017,1/11/2019,251,9026,269,288,387,308,192,467,259,270,223,187,261
L.D3*.10.3.17,dentifera,L,2017,10.3.2017,12/11/2018,276,9014,269,288,387,308,192,446,259,270,223,187,261
L.D3.10.13.17,dentifera,L,2017,10.13.2017,11/5/2018,286,9002,269,288,387,308,192,,259,270,223,187,261
L.D3.10.3.17,dentifera,L,2017,10.3.2017,11/5/2018,276,9002,269,288,387,308,192,,259,270,,,261
L.D3.7.21.15,dentifera,L,2015,7.21.2015,1/28/2016,202,7869,269,279,,308,174,416,242,153,223,187,295
L.D3.7.30.17,dentifera,L,2017,7.30.2017,12/11/2018,211,9014,269,458,,325,183,409,174,285,223,187,282
L.D3.8.28.17,dentifera,L,2017,8.28.2017,1/11/2019,240,9026,269,288,387,308,192,467,259,270,223,187,261
L.D3.9.17.17,dentifera,L,2017,9.17.2017,11/5/2018,260,9002,269,288,387,308,192,,259,270,223,187,290
L.D3.9.30.15,dentifera,L,2015,9.30.2015,2/24/2016,273,7928,233,440,387,334,128,409,250,,223,187,236
L.D3.9.8.17,dentifera,L,2017,9.8.2017,1/11/2019,251,9026,269,288,387,308,192,474,259,270,223,187,261
L.D4.10.13.17,dentifera,L,2017,10.13.2017,12/11/2018,286,9014,269,288,387,308,192,446,259,270,223,187,290
L.D4.7.21.15,dentifera,L,2015,7.21.2015,1/28/2016,202,7869,269,279,387,308,174,416,242,153,223,,295
L.D4.7.30.17,dentifera,L,2017,7.30.2017,1/11/2019,211,9026,269,279,404,300,165,431,255,153,223,187,293
L.D4.8.28.17,dentifera,L,2017,8.28.2017,1/11/2019,240,9026,269,288,387,308,192,446,259,270,223,187,290
L.D4.9.17.17,dentifera,L,2017,9.17.2017,12/11/2018,260,9014,269,288,387,308,192,453,259,270,223,187,290
L.D4.9.30.15,dentifera,L,2015,9.30.2015,2/24/2016,273,7928,269,279,387,308,174,416,242,153,223,187,295
L.D4.9.8.17,dentifera,L,2017,9.8.2017,1/11/2019,251,9026,269,288,387,308,192,446,259,270,223,187,290
L.D5.10.3.17,dentifera,L,2017,10.3.2017,2/1/2019,276,9033,,458,,350,192,395,194,285,223,187,265
L.D5.7.21.15,dentifera,L,2015,7.21.2015,2/24/2016,202,7928,,458,,350,128,395,194,285,223,187,265
L.D5.7.30.17,dentifera,L,2017,7.30.2017,1/11/2019,211,9026,269,288,387,308,192,446,259,270,223,187,290
L.D5.8.28.17,dentifera,L,2017,8.28.2017,1/11/2019,240,9026,269,288,387,308,,,259,270,223,187,290
L.D5.9.17.17,dentifera,L,2017,9.17.2017,12/11/2018,260,9014,269,288,387,308,192,440,259,270,223,187,290
L.D5.9.30.15,dentifera,L,2015,9.30.2015,2/17/2016,273,7906,,458,,350,128,395,194,285,223,187,265
L.D5.9.8.17,dentifera,L,2017,9.8.2017,1/11/2019,251,9026,269,288,387,308,192,467,259,270,223,187,261
L.D6.7.21.15,dentifera,L,2015,7.21.2015,2/24/2016,202,7928,,458,,350,128,395,194,285,223,187,265
L.D6.7.30.17,dentifera,L,2017,7.30.2017,1/11/2019,211,9026,245,458,,350,128,395,194,285,223,187,265
L.D6.8.28.17,dentifera,L,2017,8.28.2017,1/11/2019,240,9026,269,288,387,308,,,259,270,223,187,290
L.D6.9.30.15,dentifera,L,2015,9.30.2015,2/17/2016,273,7906,286,279,404,,165,416,194,153,223,187,267
L.D6.9.8.17,dentifera,L,2017,9.8.2017,1/11/2019,251,9026,269,288,,308,192,446,259,270,223,187,290
L.D7.7.21.15,dentifera,L,2015,7.21.2015,2/24/2016,202,7928,,458,,350,128,395,194,285,223,187,265
L.D7.7.30.17,dentifera,L,2017,7.30.2017,1/11/2019,211,9026,245,458,,350,128,395,194,285,223,187,265
L.D7.8.28.17,dentifera,L,2017,8.28.2017,1/11/2019,240,9026,269,288,387,308,192,446,259,270,223,187,290
L.D7.9.30.15,dentifera,L,2015,9.30.2015,2/17/2016,273,7906,,458,387,350,128,395,194,285,223,187,265
L.D7.9.8.17,dentifera,L,2017,9.8.2017,1/23/2019,251,9030,269,288,387,308,128,446,259,270,223,187,290
L.D8.7.21.15,dentifera,L,2015,7.21.2015,2/24/2016,202,7928,427,458,,325,165,409,174,153,223,187,242
L.D8.8.28.17,dentifera,L,2017,8.28.2017,1/11/2019,240,9026,269,288,387,308,192,446,259,270,223,187,290
L.D8.9.8.17,dentifera,L,2017,9.8.2017,1/23/2019,251,9030,269,288,387,308,192,446,259,270,223,187,290
L.D9.8.28.17,dentifera,L,2017,8.28.2017,1/23/2019,240,9030,269,288,387,308,192,467,259,270,223,187,261
L.D9.9.8.17,dentifera,L,2017,9.8.2017,1/23/2019,251,9030,269,288,387,,,453,259,270,223,,
M.P1.8.24.2015,parvula,M,2015,8.24.2015,5/22/2017,236,8456,,288,387,276,119,379,174,153,223,187,267
M.P1.8.7.15,parvula,M,2015,8.7.2015,2/22/2016,219,7921,252,288,369,317,128,360,151,261,223,187,253
M.P2.8.24.2015,parvula,M,2015,8.24.2015,5/22/2017,236,8456,,288,369,317,128,360,151,261,,187,253
M.P3.8.24.2015,parvula,M,2015,8.24.2015,5/22/2017,236,8456,,288,387,276,119,379,174,153,223,187,267
M.P4.8.24.2015,parvula,M,2015,8.24.2015,5/22/2017,236,8456,,288,387,276,119,379,174,153,223,187,267
M.P5.8.24.2015,parvula,M,2015,8.24.2015,6/7/2017,236,8480,,288,387,276,119,379,174,153,223,187,267
M.P6.8.24.2015,parvula,M,2015,8.24.2015,6/7/2017,236,8480,,270,387,334,119,416,155,261,223,187,302
M.P7.8.24.2015,parvula,M,2015,8.24.2015,6/7/2017,236,8480,,288,369,317,128,360,151,261,223,187,253
M.P8.8.24.2015,parvula,M,2015,8.24.2015,6/7/2017,236,8480,,288,387,,119,379,174,,223,187,267
M.R1.8.24.2015,retrocurva,M,2015,8.24.2015,5/22/2017,236,8456,,288,387,276,119,379,174,153,223,187,267
M.R1.9.21.15,retrocurva,M,2015,9.21.2015,2/22/2016,264,7922,,288,387,276,119,379,174,153,223,187,267
M.R1.9.8.15,retrocurva,M,2015,9.8.2015,11/5/2018,251,9002,,288,387,276,119,379,174,153,223,187,267
M.R2.8.24.2015,retrocurva,M,2015,8.24.2015,5/22/2017,236,8456,,288,387,276,119,379,174,153,223,187,267
M.R2.9.21.15,retrocurva,M,2015,9.21.2015,2/22/2016,264,7922,302,288,387,276,119,379,174,153,223,187,267
M.R3.8.24.2015,retrocurva,M,2015,8.24.2015,5/22/2017,236,8456,,288,387,276,119,379,174,153,223,187,267
M.R4.8.24.2015,retrocurva,M,2015,8.24.2015,6/7/2017,236,8480,,270,387,334,119,416,155,261,223,187,302
M.R5.8.24.2015,retrocurva,M,2015,8.24.2015,6/7/2017,236,8480,,288,387,276,119,379,174,153,223,187,267
M.R5.9.21.15,retrocurva,M,2015,9.21.2015,2/24/2016,264,7927,,288,387,276,119,379,174,153,223,187,267
M.R6.8.24.2015,retrocurva,M,2015,8.24.2015,6/7/2017,236,8480,,288,387,276,119,379,174,153,223,187,267
M.R6.9.21.15,retrocurva,M,2015,9.21.2015,2/24/2016,264,7927,,,387,276,119,379,155,261,223,187,302
M.R7.8.24.2015,retrocurva,M,2015,8.24.2015,6/7/2017,236,8480,,288,387,276,119,379,174,153,223,187,267
M.R7.9.21.15,retrocurva,M,2015,9.21.2015,2/24/2016,264,7927,,288,387,276,119,379,174,153,223,187,267
N.D1.8.25.15,dentifera,N,2015,8.25.2015,11/5/2018,237,9002,286,,,382,137,424,174,,223,187,240
N.P1.9.9.15,parvula,N,2015,9.9.2015,3/3/2016,252,7938,,288,387,382,165,373,155,,,187,267
N.R1.10.21.15,retrocurva,N,2015,10.21.2015,3/3/2016,294,7938,,288,387,350,165,373,155,250,223,187,279
N.R10.9.9.15,retrocurva,N,2015,9.9.2015,3/3/2016,252,7938,,288,387,382,165,373,155,250,223,187,267
N.R2.10.21.15,retrocurva,N,2015,10.21.2015,3/3/2016,294,7938,,288,387,382,156,373,155,250,223,187,279
N.R3.9.9.15,retrocurva,N,2015,9.9.2015,3/3/2016,252,7937,,288,387,373,156,395,151,250,223,187,279
N.R4.10.21.15,retrocurva,N,2015,10.21.2015,3/10/2016,294,7946,,288,387,373,156,395,151,250,223,187,279
N.R4.9.9.15,retrocurva,N,2015,9.9.2015,3/3/2016,252,7937,,288,387,373,156,395,151,250,223,187,279
N.R5.10.21.15,retrocurva,N,2015,10.21.2015,3/10/2016,294,7946,,288,387,382,165,373,155,,223,,267
N.R5.9.9.15,retrocurva,N,2015,9.9.2015,3/3/2016,252,7937,,288,387,382,165,373,155,250,223,187,267
N.R6.9.9.15,retrocurva,N,2015,9.9.2015,3/3/2016,252,7937,,288,387,373,156,373,151,250,223,187,279
N.R7.9.9.15,retrocurva,N,2015,9.9.2015,3/3/2016,252,7937,,288,387,382,165,373,155,250,223,187,267
N.R9.9.9.15,retrocurva,N,2015,9.9.2015,3/3/2016,252,7938,,288,387,382,156,373,155,250,223,187,279
W.D2.8.7.15,dentifera,W,2015,8.7.2015,2/1/2019,219,9033,302,440,,334,,431,250,184,223,171,236
W.D3.8.7.15,dentifera,W,2015,8.7.2015,2/1/2019,219,9033,302,440,,334,,431,250,207,223,171,236
W.R1.8.7.15,retrocurva,W,2015,8.7.2015,2/1/2019,219,9033,252,288,369,317,128,360,151,261,223,187,253
W.R2.8.7.15,retrocurva,W,2015,8.7.2015,2/1/2019,219,9033,,288,387,276,119,379,174,153,223,187,267
